target,acquiror,sale_year
CENTERSTATE BANK OF FLORIDA,SOUTH STATE BANK,2020
OLD SECOND BANK,WEST SUBURBAN BANK,2021
PIPER SANDLER,US BANK,1998
LEHMAN BROTHERS,BARCLAYS,2008
CHASE BANK,JP MORGAN,2000
BLYTH EASTMAN DILLON,PAINE WEBBER,1979
HALSY STUART,BACHE HALSEY STUART SHIELDS IN,1974
BACHE,BACHE HALSEY STUART SHIELDS IN,1974
THE OHIO,FIFTH THIRD BANK,1991
WHITE WELD,MERRILL LYNCH,1978
REPUBLIC NATIONAL BANK OF DALLAS,NCNB NATIONAL BANK OF NORTH CAROLINA,1988
MOORE LEONARD & LYNCH,BLYTH EASTMAN DILLON,1978
NORTH CONWAY BANK,TD BANK,1995
AMERICAN SECURITY BANK,NATIONSBANK,1993
BLYTH,BLYTH EASTMAN DILLON,1972
MOSELEY HALLGARTEN ESTABROOK,GRUNTAL,1987
FIRST OF TEXAS,RAUSCHER PIERCE REFSNES,1974
UMIC,UNION PLANTERS NATIONAL BANK,1988
HAYDEN STONE,SHEARSON HAYDEN STONE,1973
SHEARSON HAMMILL,SHEARSON HAYDEN STONE,1973
HORNBLOWER WEEKS NOYES & TRASK,LOEB RHOADES HORNBLOWER,1978
CARL M LOEB RHOADES,LOEB RHOADES HORNBLOWER,1978
LOEB RHOADES HORNBLOWER,SHEARSONAMERICAN EXPRESS,1981
SHEARSON HAYDEN STONE,SHEARSONAMERICAN EXPRESS,1981
AMERICAN EXPRESS,SHEARSONAMERICAN EXPRESS,1981
FIRST NATIONAL BANK OF TULSA,LIBERTY NATIONAL BANK,1984
DEAN WITTER,DEAN WITTER REYNOLDS,1978
REYNOLDS SECURITIES,DEAN WITTER REYNOLDS,1978
CLARK DODGE,KIDDER PEABODY,1974
MARINE NATIONAL EXCHANGE BANK,BANC ONE,1988
J B HANAUER,RBC BANK,2007
HANAUER STERN,BEVILL BRESLER & SCHULMAN,1983
BOSWORTH SULLIVAN,DAIN BOSWORTH,1973
JOHNSTON BROWN BARNETT&KNIGHT,ROSS SINCLAIRE & ASSOCIATES,1997
PHELPS FENN,REYNOLDS SECURITIES,1972
ROOSE WADE,RONEY,1978
ARCH W ROBERTS,RAYMOND JAMES,1990
NATIONAL BANK OF COMMERCE,WELLS FARGO,2000
ROBERT E SCHWESER,NATIONAL BANK OF COMMERCE,1977
BECKER & COWNIE,R G DICKINSON,1986
KUHN LOEB,LEHMAN BROTHERS,1977
W E HUTTON,THOMSON MCKINNON SEC,1974
BANK OF THE COMMONWEALTH,COMERICA BANK,1983
PRESCOTT MERRILL TURBEN,PRESCOTT BALL & TURBEN,1973
BALL BURGE & KRAUS,PRESCOTT BALL & TURBEN,1973
TEXAS NATIONAL BANK OF COMMERCE,CHEMICAL BANK,1987
A E MASTEN,LEGG MASON,1984
HARRIS UPHAM,SMITH BARNEY,1975
FIRST KNOX NATIONAL BANK,PARK NATIONAL BANK,2008
FIRST PENNSYLVANIA BANK,CORESTATES BANK,1989
UNITED VIRGINIA BANK,CRESTAR BANK,1996
CRESTAR BANK,SUNTRUST BANK,2000
MCCLOY WATTERSON,COWEN,1979
FIRST NATIONAL BANK OF FORT WORTH,INTERFIRST BANK DALLAS,1983
CUNNINGHAM SCHMERTZ & COINC,HOPPER SOLIDAY,1988
HOPPER SOLIDAY,FAHNESTOCK,1991





